 Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:3491         127.0.0.1:3493         ESTABLISHED     35920
  TCP    127.0.0.1:3493         127.0.0.1:3491         ESTABLISHED     35920
  TCP    127.0.0.1:3496         127.0.0.1:3498         ESTABLISHED     35920
  TCP    127.0.0.1:3498         127.0.0.1:3496         ESTABLISHED     35920
  TCP    127.0.0.1:3525         0.0.0.0:0              LISTENING       35920
  TCP    127.0.0.1:3525         127.0.0.1:2042         ESTABLISHED     35920
  TCP    127.0.0.1:3527         127.0.0.1:3528         ESTABLISHED     35920
  TCP    127.0.0.1:3528         127.0.0.1:3527         ESTABLISHED     35920
  TCP    127.0.0.1:3553         0.0.0.0:0              LISTENING       35920
  TCP    127.0.0.1:4050         127.0.0.1:65001        ESTABLISHED     5444
  TCP    127.0.0.1:4059         0.0.0.0:0              LISTENING       22308
  TCP    127.0.0.1:4135         0.0.0.0:0              LISTENING       19896
  TCP    127.0.0.1:4301         0.0.0.0:0              LISTENING       23220
  TCP    127.0.0.1:4709         0.0.0.0:0              LISTENING       24792
  TCP    127.0.0.1:5533         0.0.0.0:0              LISTENING       33068
  TCP    127.0.0.1:6760         0.0.0.0:0              LISTENING       32744
  TCP    127.0.0.1:6942         0.0.0.0:0              LISTENING       35920
  TCP    127.0.0.1:8680         0.0.0.0:0              LISTENING       6104
  TCP    127.0.0.1:8797         127.0.0.1:3525         TIME_WAIT       0
  TCP    127.0.0.1:8818         127.0.0.1:8819         TIME_WAIT       0
  TCP    127.0.0.1:9010         0.0.0.0:0              LISTENING       23388
  TCP    127.0.0.1:9010         127.0.0.1:1663         ESTABLISHED     23388
  TCP    127.0.0.1:9080         0.0.0.0:0              LISTENING       23388
  TCP    127.0.0.1:9100         0.0.0.0:0              LISTENING       5328
  TCP    127.0.0.1:9100         127.0.0.1:1662         ESTABLISHED     5328
  TCP    127.0.0.1:9169         127.0.0.1:3525         TIME_WAIT       0
  TCP    127.0.0.1:9180         0.0.0.0:0              LISTENING       5328
  TCP    127.0.0.1:9326         127.0.0.1:8005         TIME_WAIT       0
  TCP    127.0.0.1:9418         0.0.0.0:0              LISTENING       34044
  TCP    127.0.0.1:10743        0.0.0.0:0              LISTENING       23600
  TCP    127.0.0.1:11237        0.0.0.0:0              LISTENING       11704
  TCP    127.0.0.1:28317        0.0.0.0:0              LISTENING       5676
  TCP    127.0.0.1:45654        0.0.0.0:0              LISTENING       23388
  TCP    127.0.0.1:57591        0.0.0.0:0              LISTENING       29504
  TCP    127.0.0.1:63341        0.0.0.0:0              LISTENING       35920
  TCP    127.0.0.1:63342        0.0.0.0:0              LISTENING       35920
  TCP    127.0.0.1:65001        0.0.0.0:0              LISTENING       5444
  TCP    127.0.0.1:65001        127.0.0.1:4050         ESTABLISHED     5444
  TCP    192.168.0.104:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.0.104:1159     180.215.201.173:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:1241     134.122.172.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:1250     140.82.114.25:443      ESTABLISHED     34044
  TCP    192.168.0.104:1283     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:1292     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:1333     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:1344     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:1437     134.122.171.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:1474     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:1617     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:1678     120.232.67.190:8080    ESTABLISHED     18012
  TCP    192.168.0.104:2033     120.241.200.242:443    ESTABLISHED     24908
  TCP    192.168.0.104:2034     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:2045     69.176.88.177:443      ESTABLISHED     1472
  TCP    192.168.0.104:2050     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:2056     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:2058     120.233.17.180:80      TIME_WAIT       0
  TCP    192.168.0.104:2060     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:2064     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:2067     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:2069     112.13.119.18:443      LAST_ACK        26364
  TCP    192.168.0.104:2070     36.159.96.208:443      ESTABLISHED     26364
  TCP    192.168.0.104:2071     112.13.119.18:443      LAST_ACK        26364
  TCP    192.168.0.104:2072     112.13.119.18:443      LAST_ACK        26364
  TCP    192.168.0.104:2073     120.241.186.232:443    CLOSE_WAIT      23220
  TCP    192.168.0.104:2076     36.159.96.205:80       TIME_WAIT       0
  TCP    192.168.0.104:2077     112.13.119.18:443      TIME_WAIT       0
  TCP    192.168.0.104:2078     112.13.119.18:443      TIME_WAIT       0
  TCP    192.168.0.104:2079     112.13.119.18:443      LAST_ACK        26364
  TCP    192.168.0.104:2080     36.159.96.206:443      ESTABLISHED     26364
  TCP    192.168.0.104:2081     36.159.96.206:443      ESTABLISHED     26364
  TCP    192.168.0.104:2082     36.159.96.206:443      ESTABLISHED     26364
  TCP    192.168.0.104:2083     36.159.96.206:443      ESTABLISHED     26364
  TCP    192.168.0.104:2084     36.159.96.206:443      ESTABLISHED     26364
  TCP    192.168.0.104:2086     117.169.105.37:443     ESTABLISHED     26364
  TCP    192.168.0.104:2087     36.159.96.206:443      ESTABLISHED     26364
  TCP    192.168.0.104:2089     36.159.96.208:443      ESTABLISHED     26364
  TCP    192.168.0.104:2090     36.159.96.208:443      ESTABLISHED     26364
  TCP    192.168.0.104:2091     36.159.96.208:443      ESTABLISHED     26364
